 
****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : SIPISOALU_generic_nbit32
Version: Z-2007.03-SP1
Date   : Thu Apr 28 12:14:32 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
SIPISOALU_generic_nbit32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U988                       0.4461    0.1807      0.627 (71%)     36.7328   
U966                       0.4441    0.2176      0.662 (67%)     36.7035   
U964                       0.4397    0.2157      0.655 (67%)     36.7897   
U1056                      0.4086    3.2391      3.648 (11%)     17.1478   
U1050                      0.4085    1.0261      1.435 (28%)     11.5586   
U1003                      0.3864    0.3210      0.707 (55%)      6.1981   
U1007                      0.3830    0.3183      0.701 (55%)      6.1981   
U998                       0.3829    0.3181      0.701 (55%)      6.1981   
U1005                      0.3824    0.3178      0.700 (55%)      6.1981   
U1012                      0.3824    0.3178      0.700 (55%)      6.1981   
U1013                      0.3824    0.3178      0.700 (55%)      6.1981   
U1010                      0.3813    0.3168      0.698 (55%)      6.1981   
U991                       0.3812    0.3170      0.698 (55%)      6.1981   
U986                       0.3803    0.3163      0.697 (55%)      6.1981   
U985                       0.3794    0.3156      0.695 (55%)      6.1981   
U1006                      0.3793    0.3152      0.694 (55%)      6.1981   
U1009                      0.3791    0.3150      0.694 (55%)      6.1981   
U1015                      0.3791    0.3150      0.694 (55%)      6.1981   
U996                       0.3790    0.3148      0.694 (55%)      6.1981   
U995                       0.3783    0.3143      0.693 (55%)      6.1981   
U1001                      0.3779    0.3139      0.692 (55%)      6.1981   
U1016                      0.3778    0.3139      0.692 (55%)      6.1981   
U984                       0.3768    0.3134      0.690 (55%)      6.1981   
U994                       0.3765    0.3128      0.689 (55%)      6.1981   
U999                       0.3765    0.3128      0.689 (55%)      6.1981   
U990                       0.3763    0.3130      0.689 (55%)      6.1981   
U1002                      0.3759    0.3123      0.688 (55%)      6.1981   
U997                       0.3752    0.3117      0.687 (55%)      6.1981   
U1008                      0.3745    0.3112      0.686 (55%)      6.1981   
U1011                      0.3744    0.3114      0.686 (55%)      6.1981   
U989                       0.3739    0.3110      0.685 (55%)      6.1981   
U1004                      0.3737    0.3104      0.684 (55%)      6.1981   
U1014                      0.3734    0.3103      0.684 (55%)      6.1981   
U993                       0.3702    0.3075      0.678 (55%)      6.1981   
U1000                      0.3702    0.3075      0.678 (55%)      6.1981   
U1038                      0.3699    0.1326      0.502 (74%)     46.8455   
U987                       0.3640    0.3028      0.667 (55%)      6.1981   
U952                       0.3620    0.3141      0.676 (54%)     14.7180   
U1140                      0.3054    0.3667      0.672 (45%)     10.8019   
U1132                      0.2215    0.2667      0.488 (45%)     10.6577   
U1039                      0.1987    0.0712      0.270 (74%)     47.4544   
U1037                      0.1106    0.0396      0.150 (74%)     47.7784   
U1030                      0.0615    0.0219   8.34e-02 (74%)     47.9632   
U1031                      0.0375    0.0133   5.08e-02 (74%)     48.0881   
U1032                      0.0217 7.769e-03   2.94e-02 (74%)     48.1604   
U1025                      0.0143 5.033e-03   1.93e-02 (74%)     48.1878   
U1029                      0.0105 3.720e-03   1.42e-02 (74%)     48.2049   
U1036                   6.540e-03 2.298e-03   8.84e-03 (74%)     48.2184   
U1122                   4.194e-03 1.062e-03   5.26e-03 (80%)     64.4658   
U1035                   4.131e-03 1.422e-03   5.55e-03 (74%)     48.2246   
U1117                   4.124e-03 1.062e-03   5.19e-03 (80%)     64.4691   
U922                    3.878e-03 1.062e-03   4.94e-03 (79%)     69.9649   
U923                    3.782e-03 1.062e-03   4.84e-03 (78%)     74.5628   
U1021                   3.778e-03 1.593e-03   5.37e-03 (70%)     48.2415   
U924                    3.777e-03 1.062e-03   4.84e-03 (78%)     74.7477   
U1045                   3.775e-03 1.593e-03   5.37e-03 (70%)     48.2415   
U1034                   3.507e-03 1.204e-03   4.71e-03 (74%)     48.2281   
U1033                   3.194e-03 1.094e-03   4.29e-03 (74%)     48.2310   
U1017                   3.183e-03 1.328e-03   4.51e-03 (71%)     48.2333   
U1026                   2.872e-03 9.848e-04   3.86e-03 (74%)     48.2365   
U1040                   2.869e-03 9.848e-04   3.85e-03 (74%)     48.2348   
U1044                   2.868e-03 1.195e-03   4.06e-03 (71%)     48.2365   
U1028                   2.574e-03 1.062e-03   3.64e-03 (71%)     48.2352   
U1027                   2.567e-03 8.754e-04   3.44e-03 (75%)     48.2353   
U1024                   2.566e-03 1.062e-03   3.63e-03 (71%)     48.2352   
U1018                   2.566e-03 1.062e-03   3.63e-03 (71%)     48.2352   
U1019                   2.566e-03 1.062e-03   3.63e-03 (71%)     48.2352   
U1022                   2.566e-03 1.062e-03   3.63e-03 (71%)     48.2352   
U1023                   2.566e-03 1.062e-03   3.63e-03 (71%)     48.2352   
U1047                   2.566e-03 1.062e-03   3.63e-03 (71%)     48.2352   
U1043                   2.562e-03 1.062e-03   3.62e-03 (71%)     48.2353   
U1042                   2.561e-03 1.062e-03   3.62e-03 (71%)     48.2352   
U1020                   2.207e-03 9.293e-04   3.14e-03 (70%)     48.2464   
U1046                   2.204e-03 9.293e-04   3.13e-03 (70%)     48.2464   
U918                    7.099e-04 9.295e-04   1.64e-03 (43%)     38.8116   
U910                    7.042e-04 7.828e-04   1.49e-03 (47%)     38.8116   
U926                    4.072e-04 3.809e-04   7.88e-04 (52%)     28.5783   
U912                    4.047e-04 3.287e-04   7.33e-04 (55%)     28.5783   
U911                    2.816e-04 2.245e-03   2.53e-03 (11%)     20.2050   
U931                    2.812e-04 2.133e-03   2.41e-03 (12%)     37.2078   
U1078                   2.278e-04 1.328e-04   3.61e-04 (63%)     37.2054   
U1120                   2.278e-04 1.328e-04   3.61e-04 (63%)     37.2054   
U1128                   2.278e-04 1.328e-04   3.61e-04 (63%)     37.2054   
U1104                   2.275e-04 1.762e-04   4.04e-04 (56%)      3.5087   
U1064                   2.274e-04 1.762e-04   4.04e-04 (56%)      3.5100   
U1113                   2.271e-04 1.762e-04   4.03e-04 (56%)      3.5088   
U1107                   2.269e-04 1.762e-04   4.03e-04 (56%)      3.5107   
U1133                   2.263e-04 1.762e-04   4.03e-04 (56%)      3.5112   
U1116                   2.256e-04 1.791e-04   4.05e-04 (56%)      3.5130   
U1073                   2.152e-04 1.762e-04   3.91e-04 (55%)      3.5103   
U1058                   2.151e-04 1.762e-04   3.91e-04 (55%)      3.5101   
U1083                   2.148e-04 1.762e-04   3.91e-04 (55%)      3.5106   
U1076                   2.147e-04 1.822e-04   3.97e-04 (54%)      3.5104   
U1067                   2.143e-04 1.762e-04   3.91e-04 (55%)      3.5093   
U1129                   2.143e-04 1.762e-04   3.90e-04 (55%)      3.5103   
U1061                   2.143e-04 1.762e-04   3.90e-04 (55%)      3.5081   
U1136                   2.141e-04 1.762e-04   3.90e-04 (55%)      3.5113   
U1110                   2.140e-04 1.762e-04   3.90e-04 (55%)      3.5097   
U1101                   2.139e-04 1.762e-04   3.90e-04 (55%)      3.5095   
U1098                   2.139e-04 1.762e-04   3.90e-04 (55%)      3.5090   
U1088                   2.138e-04 1.762e-04   3.90e-04 (55%)      3.5102   
U1118                   2.138e-04 1.822e-04   3.96e-04 (54%)      3.5099   
U1091                   2.136e-04 1.762e-04   3.90e-04 (55%)      3.5083   
U1126                   2.136e-04 1.822e-04   3.96e-04 (54%)      3.5086   
U1093                   2.132e-04 1.762e-04   3.89e-04 (55%)      3.5075   
U913                    2.109e-04 1.762e-04   3.87e-04 (54%)      3.5088   
U914                    2.106e-04 1.762e-04   3.87e-04 (54%)      3.5107   
U1106                   1.777e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1115                   1.777e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1066                   1.777e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1109                   1.777e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1135                   1.777e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1075                   1.771e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1084                   1.771e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1060                   1.771e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1063                   1.771e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1069                   1.771e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1095                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U915                    1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1138                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1112                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1131                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1092                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1090                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1100                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1103                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U1097                   1.770e-04 1.328e-04   3.10e-04 (57%)     37.2060   
U921                    1.454e-04 7.501e-04   8.95e-04 (16%)     10.1025   
U978                    1.448e-04 9.487e-04   1.09e-03 (13%)     18.6039   
U920                    1.445e-04 1.979e-03   2.12e-03 (7%)      18.6039   
U930                    1.443e-04 7.158e-04   8.60e-04 (17%)     10.1025   
U932                    1.441e-04 1.165e-03   1.31e-03 (11%)     18.6039   
U917                    1.433e-04 3.930e-04   5.36e-04 (27%)     10.1025   
PISO_reg[6]                0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[8]                0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[11]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[13]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[16]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[17]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[20]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[22]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[23]               0.0000    0.0000      0.000 (N/A)     86.2128   
PISO_reg[24]               0.0000    0.0000      0.000 (N/A)     86.2128   
U890                       0.0000    0.0000      0.000 (N/A)     41.2948   
U891                       0.0000    0.0000      0.000 (N/A)     20.6229   
U892                       0.0000    0.0000      0.000 (N/A)     30.8504   
U893                       0.0000    0.0000      0.000 (N/A)     30.8504   
U894                       0.0000    0.0000      0.000 (N/A)     30.8504   
U895                       0.0000    0.0000      0.000 (N/A)     30.8504   
U896                       0.0000    0.0000      0.000 (N/A)     30.8504   
U897                       0.0000    0.0000      0.000 (N/A)     30.8504   
U898                       0.0000    0.0000      0.000 (N/A)     30.8504   
U899                       0.0000    0.0000      0.000 (N/A)     30.8504   
U900                       0.0000    0.0000      0.000 (N/A)     30.8504   
