****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : sipisoAluControl_generic
Version: Z-2007.03-SP1
Date   : Mon Apr 25 12:46:27 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
sipisoAluControl_generic
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
next_counter_reg[27]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[28]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[29]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[30]       1.1882    0.0000      1.188 (100%)    38.7373   
next_counter_reg[31]       1.1882    0.0000      1.188 (100%)    38.7373   
U430                       1.1820    0.3576      1.540 (77%)     54.9473   
U488                       1.1689    3.4418      4.611 (25%)     19.7694   
U234                       1.0298    0.3184      1.348 (76%)     28.5871   
U236                       1.0298    0.3184      1.348 (76%)     28.5871   
U165                       0.9404   27.9482     28.889 (3%)      28.7064   
U491                       0.8886    1.4255      2.314 (38%)     19.2480   
U489                       0.8748    1.2440      2.119 (41%)     16.4794   
U487                       0.8269    1.1780      2.005 (41%)     14.3848   
U161                       0.6845    2.0186      2.703 (25%)    133.2031   
U442                       0.5644    3.0332      3.598 (16%)     12.1968   
U241                       0.4956    0.0860      0.582 (85%)     27.2855   
U492                       0.4879    4.1363      4.624 (11%)     14.3532   
U490                       0.4690    0.3304      0.799 (59%)     16.5095   
U232                       0.4486   15.6061     16.055 (3%)      16.0072   
U242                       0.4190    0.0879      0.507 (83%)     35.3064   
U167                       0.4083   14.1127     14.521 (3%)      16.5095   
U243                       0.3361    0.0879      0.424 (79%)     27.8126   
U475                       0.3090    0.5002      0.809 (38%)     53.5719   
U433                       0.2479    0.1268      0.375 (66%)     17.7846   
U420                       0.2261    0.0454      0.271 (83%)     32.7211   
U434                       0.2196    0.1290      0.349 (63%)     28.7489   
U248                       0.1819    0.0365      0.218 (83%)     30.0792   
U474                       0.1622    0.0435      0.206 (79%)     21.0668   
U239                       0.1592    2.3713      2.531 (6%)      21.1289   
U235                       0.1530    0.0427      0.196 (78%)     20.9736   
U200                       0.1517    0.0376      0.189 (80%)     23.2190   
U201                       0.1517    0.0376      0.189 (80%)     23.2190   
U202                       0.1517    0.0376      0.189 (80%)     23.2190   
U203                       0.1517    0.0376      0.189 (80%)     23.2190   
U204                       0.1517    0.0376      0.189 (80%)     23.2190   
U205                       0.1517    0.0376      0.189 (80%)     23.2190   
U206                       0.1517    0.0376      0.189 (80%)     23.2190   
U207                       0.1517    0.0376      0.189 (80%)     23.2190   
