 
****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : SIPISOALU_generic_nbit32
Version: Z-2007.03-SP1
Date   : Thu Apr 28 12:13:42 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
SIPISOALU_generic_nbit32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U922                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U959                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U962                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U890                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U910                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U946                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U949                    1.831e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U716                    1.828e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U913                    1.828e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U943                    1.828e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U919                    1.828e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U958                    1.828e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U896                    1.828e-03 1.062e-03   2.89e-03 (63%)     37.1801   
U887                    1.464e-03 1.062e-03   2.53e-03 (58%)     37.1965   
U893                    1.464e-03 1.062e-03   2.53e-03 (58%)     37.1965   
U901                    1.464e-03 1.062e-03   2.53e-03 (58%)     37.1965   
U884                    1.460e-03 1.062e-03   2.52e-03 (58%)     37.1965   
U625                       0.0000    0.0000      0.000 (N/A)     23.5927   
U627                       0.0000    0.0000      0.000 (N/A)     18.6041   
U628                       0.0000    0.0000      0.000 (N/A)     18.6041   
U629                       0.0000    0.0000      0.000 (N/A)     18.6041   
U632                       0.0000    0.0000      0.000 (N/A)     20.6230   
U633                       0.0000    0.0000      0.000 (N/A)     18.6041   
U634                       0.0000    0.0000      0.000 (N/A)     18.6041   
U642                       0.0000    0.0000      0.000 (N/A)      3.5089   
U643                       0.0000    0.0000      0.000 (N/A)      3.5089   
U719                       0.0000    0.0000      0.000 (N/A)     47.3103   
U720                       0.0000    0.0000      0.000 (N/A)     47.3103   
U721                       0.0000    0.0000      0.000 (N/A)      3.5077   
U722                       0.0000    0.0000      0.000 (N/A)     37.2083   
U723                       0.0000    0.0000      0.000 (N/A)     10.1022   
U724                       0.0000    0.0000      0.000 (N/A)     37.2064   
U725                       0.0000    0.0000      0.000 (N/A)     57.4198   
U726                       0.0000    0.0000      0.000 (N/A)     18.6041   
U728                       0.0000    0.0000      0.000 (N/A)     24.7995   
U729                       0.0000    0.0000      0.000 (N/A)     18.6041   
U730                       0.0000    0.0000      0.000 (N/A)     10.1022   
U731                       0.0000    0.0000      0.000 (N/A)      4.0850   
U732                       0.0000    0.0000      0.000 (N/A)     10.1022   
U733                       0.0000    0.0000      0.000 (N/A)     18.6041   
U769                       0.0000    0.0000      0.000 (N/A)     48.2501   
U852                       0.0000    0.0000      0.000 (N/A)     48.2501   
U880                       0.0000    0.0000      0.000 (N/A)     14.3127   
U881                       0.0000    0.0000      0.000 (N/A)      3.5333   
U882                       0.0000    0.0000      0.000 (N/A)      3.5228   
U885                       0.0000    0.0000      0.000 (N/A)      3.5168   
U888                       0.0000    0.0000      0.000 (N/A)      3.5127   
U891                       0.0000    0.0000      0.000 (N/A)      3.5099   
U894                       0.0000    0.0000      0.000 (N/A)      3.5110   
U899                       0.0000    0.0000      0.000 (N/A)      3.5084   
U902                       0.0000    0.0000      0.000 (N/A)      3.5096   
U905                       0.0000    0.0000      0.000 (N/A)      3.5082   
U908                       0.0000    0.0000      0.000 (N/A)      3.5076   
U911                       0.0000    0.0000      0.000 (N/A)      3.5069   
U914                       0.0000    0.0000      0.000 (N/A)      3.5092   
U917                       0.0000    0.0000      0.000 (N/A)      3.5090   
U920                       0.0000    0.0000      0.000 (N/A)      3.5072   
U923                       0.0000    0.0000      0.000 (N/A)      3.5066   
U926                       0.0000    0.0000      0.000 (N/A)      3.5078   
U929                       0.0000    0.0000      0.000 (N/A)      3.5076   
U932                       0.0000    0.0000      0.000 (N/A)      3.5073   
U935                       0.0000    0.0000      0.000 (N/A)      3.5101   
U938                       0.0000    0.0000      0.000 (N/A)      3.5080   
U942                       0.0000    0.0000      0.000 (N/A)      3.5077   
U945                       0.0000    0.0000      0.000 (N/A)      3.5083   
U948                       0.0000    0.0000      0.000 (N/A)      3.5074   
U950                       0.0000    0.0000      0.000 (N/A)      3.5079   
U953                       0.0000    0.0000      0.000 (N/A)      3.5079   
U956                       0.0000    0.0000      0.000 (N/A)      3.5075   
U960                       0.0000    0.0000      0.000 (N/A)      3.5104   
U963                       0.0000    0.0000      0.000 (N/A)      3.5070   
U964                       0.0000    0.0000      0.000 (N/A)     37.2064   
--------------------------------------------------------------------------------
Totals (366 cells)         2.795mW     N/A         N/A (N/A)     33.962uW
1
